NONE,UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,MICVIF,LS,MCFS,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.5454545454545454,0.0,0.0,0.6363636363636364,1.0,0.0,0.0,1.0,1.0,0.0,0.9090909090909091,1.0,0.9090909090909091,0.7272727272727273,0.45454545454545453
0.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0
0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0.0,0.5833333333333334,0.75,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
0.0,0.9166666666666666,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334,0.0,0.9166666666666666,1.0,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.875,1.0,1.0,0.875,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.25,0.75,1.0,0.0
0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0
1.0,0.5555555555555556,1.0,1.0,0.8888888888888888,0.0,1.0,1.0,0.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.8888888888888888,0.5555555555555556,1.0,0.5555555555555556,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,1.0,0.1,0.0,0.5,0.4,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5625,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.75,1.0,0.5833333333333334,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1.0,0.75,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,0.0,0.0,0.4166666666666667,0.9166666666666666,0.25,0.75,0.9166666666666666,0.9166666666666666,1.0,1.0,0.4166666666666667,0.4166666666666667,0.5,0.8333333333333334,0.75,1.0
1.0,1.0,1.0,0.7,0.7,0.9,1.0,1.0,1.0,1.0,0.8,0.8,0.0,0.9,0.9,0.8,0.0,0.9,1.0,0.0,0.0,0.9,0.1,0.9,1.0,0.0
0.0,1.0,1.0,0.875,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,0.875,0.75,0.75,0.0,0.0
1.0,0.5833333333333334,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,1.0,0.4166666666666667,0.9166666666666666,0.8333333333333334,0.6666666666666666,1.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.625,0.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,0.25,0.875,0.5,0.875,1.0,1.0
0.0,0.8181818181818182,0.9090909090909091,0.0,0.8181818181818182,0.0,0.0,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.0,0.0,0.6363636363636364,0.0,0.45454545454545453,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.7272727272727273,0.45454545454545453,0.9090909090909091
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
1.0,0.25,1.0,0.875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.75,0.0,0.0
0.0,1.0,0.0,0.0,0.8571428571428571,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8571428571428571
0.0,0.0,0.7272727272727273,0.0,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.6363636363636364,0.0,0.0,0.6363636363636364,1.0,0.9090909090909091,0.9090909090909091,1.0,1.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,0.6363636363636364,1.0,0.5454545454545454
0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.14285714285714285,1.0,0.0,0.8571428571428571,0.0,0.0
1.0,1.0,1.0,0.7,0.8,0.9,1.0,0.9,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9,1.0,1.0,0.4,0.9,0.8,1.0,1.0,0.9
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.9090909090909091,0.0,0.0,0.2727272727272727,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0
1.0,1.0,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571
0.0,0.0,1.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.8888888888888888
0.0,0.0,0.0,0.4166666666666667,0.75,0.8333333333333334,0.0,0.0,0.0,0.75,0.25,0.16666666666666666,0.16666666666666666,0.0,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.75,0.6666666666666666,0.0,0.0
1.0,0.0,0.9285714285714286,0.0,0.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.7857142857142857,1.0,0.07142857142857142,0.6428571428571429,1.0,0.9285714285714286,0.5,1.0,0.9285714285714286,1.0,1.0,0.07142857142857142,0.7857142857142857,0.0,0.8571428571428571,1.0,1.0
1.0,1.0,0.8461538461538461,0.5384615384615384,0.7692307692307693,1.0,0.7692307692307693,1.0,1.0,0.6923076923076923,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,1.0,0.9230769230769231,1.0,1.0,0.0,0.8461538461538461,0.0,0.6153846153846154,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,1.0,0.36363636363636365,0.9090909090909091,0.8181818181818182,0.0,0.0,0.0
1.0,0.9375,0.9375,0.6875,0.9375,1.0,0.0,1.0,0.0,0.5625,0.0625,0.0625,0.4375,1.0,0.875,0.375,0.0,0.875,1.0,1.0,0.1875,0.875,0.5,0.9375,1.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.18181818181818182,0.36363636363636365,0.18181818181818182,1.0,0.8181818181818182,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.8,1.0,1.0,0.0,0.0,1.0,0.2,0.2,0.3,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0
0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.7777777777777778,1.0,1.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5555555555555556,0.0,1.0,1.0
0.0,0.0,0.0,0.8333333333333334,0.75,0.0,1.0,0.0,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0
1.0,0.75,0.0,0.0,0.625,1.0,0.0,0.875,0.875,0.75,1.0,1.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.875,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,1.0,0.0,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.8461538461538461,1.0,0.0,1.0,0.6153846153846154,0.9230769230769231,0.0,0.0,0.6153846153846154,0.0,0.7692307692307693,0.8461538461538461,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
1.0,1.0,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777778,0.3333333333333333,1.0,1.0,1.0
1.0,0.0,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.5555555555555556,0.8888888888888888,0.0,0.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.0,1.0,0.6666666666666666,0.8888888888888888,0.0,0.7777777777777778,1.0,1.0
